Company_ID,Company_Code,Company_Name
1,ADIN,Адинг АД Скопје
2,ALK,Алкалоид АД Скопје
3,ALKB,Алкалоид Берово
4,AMBR,АМ Брокер АД Скопје
5,AMEH,Агромеханика АД Скопје
6,APTK,Ангропромет Тиквешанка АД Кавадарци
7,ATPP,АТП Пролетер Крива Паланка
8,AUMK,Аутомакедонија АД Скопје
9,BANA,Рудници Бањани АД Скопје
10,BGOR,Кристал 1923 АД Велес
11,BIKF,Текстил Елма АД Прилеп
12,BIM,БИМ АД Свети Николе
13,BLTU,Благој Туфанов АД Радовиш - долгорочно суспендирано од котација
14,CBNG,Црвени брегови Неготино
15,CDHV,Централен депозитар за хартии од вредност АД Скопј
16,CEVI,ФЗЦ 11-ти ОКТОМВРИ АД Куманово
17,CKB,Централна кооперативна банка АД Скопје
18,CKBKO,Централна кооперативна банка АД Скопје
19,DEBA,Дебарски Бањи –Цапа АД Дебар
20,DIMI,Димко Митрев АД Велес
21,EDST,Единство Струга
22,ELMA,Елмар Штип
23,ELNC,Еленица Струмица
24,ENER,Енергомонт Скопје
25,ENSA,Флекс брокер АД Скопје
26,EUHA,Еурохаус АД Скопје
27,EUMK,Еуромак брокер АД Скопје
28,EVRO,Европа АД Скопје
29,FAKM,ФАКОМ АД Скопје
30,FERS,Фершпед АД Скопје
31,FKTL,ФК Струга-Трим-Лум АД Струга
32,FROT,Фротирка компани АД Делчево
33,FUBT,Фустеларко Борец АД Битола
34,GALE,Галеб Охрид
35,GDKM,ЗИК Градиште Куманово
36,GECK,Герас Цунев Конфекција АД Струмица
37,GECT,Герас Цунев Трговија АД Струмица
38,GIMS,Градежен институт Македонија АД Скопје
39,GRDN,Градинар АД Охрид
40,GRNT,Гранит АД Скопје
41,GRSN,Градинар Свети Николе
42,GRZD,Грозд АД Струмица
43,GTC,ГТЦ АД Скопје
44,GTRG,Гетро Гостивар
45,IJUG,Институт за заварув. Југ Скопје
46,INB,Шпаркасе банка Македонија АД Скопје
47,INDI,Инекс Дрим АД Струга
48,INEK,Инекс АД Горица Охрид
49,INHO,Интернешнел Хотелс АД Скопје
50,INOV,Иново Брокер АД Скопје
51,INPR,Интерпромет АД Тетово
52,INTP,Капитал Банка АД Скопје
53,JAKO,Јавор Консалтинг Битола
54,JULI,Палпласт АД Куманово
55,JUSK,Југотутун Скопје
56,KARO,Караорман Скопје
57,KDFO,НЛБ Фондови АД Скопје
58,KJUBI,Македонија осигурување АД Скопје - Виена Иншуренс Груп
59,KKFI,МКК Еуроникел 2005 АД Кавадарци
60,KKST,КК Струмица 2022 АД Струмица
61,KLST,Кланица со ладилник АД Струмица
62,KMB,Комерцијална банка АД Скопје
63,KMPR,Комунапроект Тетово
64,KOMU,ДС Смитх АД Скопје
65,KONF,Конзервна фабрика Струмица
66,KONZ,Фруктал Мак АД Скопје
67,KORZ,ЈАВОР Стоковна куќа КОРЗО АД Битола
68,KPSS,Фабрика Карпош АД Скопје
69,KULT,Култура Скопје
70,KVAS,Квасара АД Битола
71,LAJO,Лајон Инс АД Скопје
72,LHND,Лихнида Охрид
73,LOTO,Лотарија на Македонија АД Скопје
74,LOZP,Пелистерка АД Скопје
75,MAGP,ФК Македонија Ѓорче Петров - 1932 АД Скопје
76,MAKP,Макпромет АД Штип
77,MAKS,Макотекс АД Скопје
78,MB,Македонска берза АД Скопје
79,MERM,Мермерен комбинат АД Прилеп
80,MKSD,Макошпед АД Скопје
81,MLKR,Млекара Битола
82,MODA,Мода АД Свети Николе
83,MPOL,Хотели Метропол Охрид
84,MPT,Макпетрол АД Скопје
85,MPTE,АД Макпетрол-Теас Скопје
86,MTUR,Македонијатурист АД Скопје
87,MZHE,Вабтек МЗТ АД Скопје
88,MZPU,МЗТ Пумпи АД Скопје
89,NEME,Неметали Огражден АД Струмица
90,NOSK,Нова Стоковна куќа АД Струмица
91,OBPP,Полиса плус Скопје
92,OILK,ОИЛКО КДА Скопје
93,OKTA,ОКТА АД Скопје
94,OMOS,Вега осигурување АД Скопје
95,OPFO,Опфолио АД Скопје
96,OPTK,Очна оптика Геталдус Скопје
97,ORAN,Оранжерии Хамзали Струмица
98,OSPO,Осигурителна полиса АД Скопје
99,OTEK,Отекс Охрид
100,PELK,Пелагонија комерц Битола
101,PGGV,Пелагонија Гостивар
102,PKB,Пекабеско АД Кадино Илинден
103,POPK,Попова Кула АД Демир Капија
104,PPIV,Прилепска пиварница АД Прилеп
105,PROD,ОП Просветно Дело Скопје
106,PROT,Протектор АД Прилеп
107,PTRS,Роман АД Прилеп
108,RADE,Раде Кончар- Апаратна техника АД Скопје
109,REPL,Реплек АД Скопје
110,RIMI,РИМИ АД Штип
111,RINS,Реинг АД Скопје
112,RZEK,РЖ Економика АД Скопје
113,RZIT,РЖ Интер-Трансшпед АД Скопје
114,RZIZ,РЖ Инжинеринг Скопје
115,RZLE,АрцелорМиттал (ХРМ) АД Скопје - долгорочно суспендирано од котација
116,RZLV,Либерти АД Скопје
117,RZTK,РЖ Техничка Контрола АД Скопје
118,RZUG,Уготур АД Скопје
119,RZUS,РЖ Услуги АД Скопје
120,SBT,Стопанска банка АД Битола
121,SDOM,Современ дом АД Прилеп
122,SIL,Силекс АД Кратово
123,SKON,Индустријал Струма АД Струмица
124,SKP,Пивара Скопје АД Скопје
125,SLAV,Славеј АД Скопје
126,SNBT,СН Осигурителен брокер АД Битола
127,SNBTO,СН Осигурителен Брокер АД Битола
128,SOLN,Солун - 2001 Гевгелија
129,SPAZ,Скопски Пазар АД Скопје
130,SPAZP,Скопски Пазар АД Скопје
131,SPOL,Струмичко поле с. Василево
132,SSPR,Сигурносно стакло АД Прилеп
133,STB,Стопанска банка АД Скопје
134,STBP,Стопанска банка АД Скопје
135,STIL,Макстил АД Скопје
136,STOK,Стокопромет АД Скопје
137,TAJM,Тајмиште АД Кичево - долгорочно суспендирано од котација
138,TASK,Таска АД Кавадарци
139,TBKO,Сава Табак Осигурување Скопје
140,TEAL,ТЕАЛ АД Тетово
141,TEHN,Технокомерц АД Скопје
142,TEL,Македонски Телеком АД – Скопје
143,TETE,Тетекс АД Тетово
144,TIGA,Тигар Крива Паланка
145,TIKV,ГД-ТИКВЕШ АД Кавадарци
146,TKPR,Тутунски комбинат АД Прилеп
147,TKVS,ВВ Тиквеш АД Кавадарци
148,TNB,НЛБ Банка АД Скопје
149,TRDB,Трудбеник АД Охрид - долгорочно суспендирано од котација
150,TRPS,Патнички сообраќај Транскоп АД Битола
151,TRUB,Факултетско земјоделско стопанство с.Трубарево
152,TSMP,Трготекстил Малопродажба АД Скопје
153,TSZS,Трготекстил заед. служ. Скопје
154,TTK,ТТК Банка АД Скопје
155,UNI,УНИ Банка АД Скопје
156,USJE,Цементарница УСЈЕ АД Скопје
157,VARG,АД Вардар Градско
158,VFPM,ВФП МЕНАЏМЕНТ АД Скопје
159,VITA,Витаминка АД Прилеп
160,VROS,Триглав Осигурување АД Скопје
161,VSC,Ветеринарно сточарски центар АД Куманово
162,VTKS,Ветекс АД Велес
163,ZAS,ЖАС АД Скопје
164,ZILU,Жито Лукс АД Скопје
165,ZILUP,Жито Лукс АД Скопје
166,ZIMS,ЗИМ СКОПЈЕ АД Скопје
167,ZKAR,Жито Караорман АД Кичево
168,ZPKO,ЗК Пелагонија АД Битола
169,ZPOG,Жито Полог АД Тетово
170,ZSIL,ЗС Илинден Скопје
171,ZUAS,ЗУАС АД Скопје
